,Price,Area,Location,No. of Bedrooms,Lift Available,Car Parking
384,3988000,1108,Boisar,3,0,1
385,3308000,973,Boisar,1,0,1
386,3661000,1077,Boisar,3,0,1
387,2200000,820,Boisar,2,0,0
388,4100000,1380,Boisar,3,0,0
389,17000000,1105,Borivali East,2,1,1
390,15300000,950,Borivali East,2,1,1
391,26000000,1840,Borivali East,3,1,1
392,11299999,600,Borivali East,1,1,1
393,15500000,907,Borivali East,2,1,1
394,11000000,600,Borivali East,1,1,1
395,22500000,1189,Borivali East,3,1,1
396,21500000,1080,Borivali East,2,1,1
397,23000000,1500,Borivali East,3,1,1
398,10000000,600,Borivali East,1,1,1
399,11000000,600,Borivali East,1,1,1
400,18500000,1020,Borivali East,2,1,1
401,11000000,585,Borivali East,1,1,1
402,16500000,1050,Borivali East,2,1,1
403,10000000,552,Borivali East,1,1,1
404,15500000,845,Borivali East,2,1,1
405,14000000,900,Borivali East,2,1,1
406,13200000,918,Borivali East,2,1,0
407,21500000,1450,Borivali East,2,1,0
408,14000000,700,Borivali East,2,0,0
409,45199999,2800,Borivali East,4,0,0
410,17000000,950,Borivali East,2,0,0
411,10000000,600,Borivali East,1,1,1
412,13500000,850,Borivali East,2,1,0
413,9000000,560,Borivali East,1,1,1
414,14000000,800,Borivali East,2,1,0
415,8700000,600,Borivali East,1,1,0
416,28500000,1700,Borivali East,3,1,0
417,12200000,880,Borivali East,2,1,0
418,39900000,2500,Borivali East,4,1,0
419,8700000,595,Borivali East,1,1,1
420,33500000,1785,Borivali West,3,1,1
421,38600000,2030,Borivali West,3,1,1
422,22000000,1300,Borivali West,2,1,1
423,16299999,900,Borivali West,2,1,1
424,11000000,670,Borivali West,1,1,1
425,13000000,816,Borivali West,2,1,1
426,7500000,495,Borivali West,1,1,1
427,15900000,867,Borivali West,2,1,1
428,9900000,539,Borivali West,1,1,1
429,11000000,600,Borivali West,1,1,0
430,10500000,500,Borivali West,1,0,0
431,18500000,1050,Borivali West,2,1,0
432,8600000,550,Borivali West,1,1,0
433,11200000,650,Borivali West,1,0,0
434,11500000,600,Borivali West,1,0,0
435,10000000,600,Borivali West,1,1,0
436,13300000,899,Borivali West,2,0,0
437,10500000,650,Borivali West,1,1,0
438,20000000,1000,Borivali West,2,0,0
439,8900000,600,Borivali West,1,1,0
440,28700000,1670,Borivali West,3,1,0
441,16000000,750,Borivali West,2,1,0
442,6500000,360,Borivali West,1,0,0
443,13500000,742,Borivali West,2,0,0
444,23500000,1100,Borivali West,3,1,0
445,9750000,630,Borivali West,2,0,0
446,27500000,1500,Borivali West,3,0,0
447,9500000,650,Borivali West,1,1,1
448,23500000,1100,Borivali West,3,0,0
449,11500000,650,Borivali West,1,0,0
450,14500000,710,Borivali West,2,0,0
451,6500000,400,Borivali West,1,1,0
452,5325000,325,Borivali West,1,1,0
453,9500000,635,Borivali West,1,1,1
454,13500000,900,Borivali West,2,1,0
455,42500000,2400,Borivali West,3,1,0
456,13700000,697,Borivali West,2,1,0
457,22500000,1250,Borivali West,3,1,0
458,8400000,515,Borivali West,1,1,0
459,4850000,300,Borivali West,1,1,0
460,8700000,580,Borivali West,1,1,0
461,13000000,760,Borivali West,2,0,0
462,15500000,900,Borivali West,2,1,1
463,31500000,1600,Borivali West,3,1,0
464,21500000,1350,Borivali West,3,0,0
465,13500000,650,Borivali West,1,1,1
466,18000000,950,Borivali West,3,0,0
467,25000000,1160,Borivali West,3,0,0
468,7500000,420,Borivali West,1,0,0
469,9500000,650,Borivali West,1,0,0
470,16000000,750,Borivali West,2,0,0
471,16200000,1050,Borivali West,2,0,0
472,9500000,575,Borivali West,1,1,1
473,18000000,1125,Borivali West,2,1,0
474,12600000,750,Borivali West,2,1,0
475,12700000,750,Borivali West,2,1,0
476,8800000,600,Borivali West,1,1,1
477,9500000,600,Borivali West,1,1,0
478,11000000,592,Borivali West,1,1,0
479,6900000,446,Borivali West,1,0,0
480,6900000,446,Borivali West,1,1,0
481,11000000,625,Borivali West,1,0,0
482,12500000,800,Borivali West,2,1,1
483,8000000,500,Borivali West,1,1,0
484,6200000,425,Borivali West,1,0,0
485,14200000,900,Borivali West,2,1,0
486,16200000,975,Borivali West,2,0,0
487,9100000,585,Borivali West,1,0,0
488,10000000,575,Borivali West,1,1,0
489,9800000,610,Borivali West,1,0,0
490,8750000,540,Borivali West,1,0,0
491,10000000,590,Borivali West,1,1,0
492,13500000,800,Borivali West,2,1,0
493,9500000,650,Borivali West,1,1,0
494,16800000,1050,Borivali West,2,0,0
495,25000000,1600,Borivali West,3,1,0
496,10000000,650,Borivali West,1,1,0
497,14000000,800,Borivali West,2,1,0
498,13500000,850,Borivali West,2,1,0
499,14000000,750,Borivali West,2,0,0
500,9000000,610,Borivali West,1,1,0
501,22500000,1300,Borivali West,3,1,0
502,14000000,960,Borivali West,2,1,0
503,22500000,1100,Borivali West,3,0,0
504,19000000,1140,Borivali West,3,1,0
505,26000000,1500,Borivali West,3,1,0
506,9600000,650,Borivali West,1,1,0
507,20000000,980,Borivali West,1,1,0
508,9000000,580,Borivali West,1,1,0
509,17500000,1122,Borivali West,1,1,0
510,18500000,1150,Borivali West,3,0,0
511,47500000,2400,Borivali West,4,1,0
512,16700000,1150,Borivali West,2,1,1
513,9600000,580,Borivali West,1,0,0
514,9600000,580,Borivali West,1,1,0
515,15600000,732,Borivali West,2,1,1
516,8400000,515,Borivali West,1,1,0
517,13700000,775,Borivali West,2,1,0
518,16700000,770,Borivali West,2,1,1
519,11500000,650,Borivali West,1,1,0
520,10800000,550,Borivali West,1,1,0
521,8900000,600,Borivali West,1,1,0
522,40000000,2250,Borivali West,4,1,1
523,18500000,1200,Borivali West,2,0,0
524,8500000,525,Borivali West,1,0,0
525,9500000,600,Borivali West,1,0,0
526,13000000,900,Borivali West,2,1,0
527,9500000,600,Borivali West,1,1,0
528,18500000,1100,Borivali West,2,1,0
529,9499000,580,Borivali West,1,1,0
530,11000000,580,Borivali West,1,1,0
531,17000000,900,Borivali West,2,1,0
532,25000000,1250,Borivali West,3,1,0
533,20000000,925,Borivali West,2,1,0
534,11500000,575,Borivali West,1,1,0
535,5300000,325,Borivali West,1,1,0
536,9700000,560,Borivali West,1,1,0
537,9500000,450,Borivali West,1,0,0
538,9500000,450,Borivali West,1,1,0
539,19200000,1150,Borivali West,2,1,0
540,6500000,380,Borivali West,1,0,0
541,7500000,435,Borivali West,1,0,0
542,11500000,585,Borivali West,1,1,1
543,25000000,1250,Borivali West,3,0,0
544,33700000,1600,Chembur,3,0,1
545,10700000,715,Chembur,1,0,1
546,15000000,1016,Chembur,2,0,1
547,18500000,1000,Chembur,2,0,1
548,17600000,1100,Chembur,2,0,1
549,19600000,1250,Chembur,2,1,1
550,21500000,1200,Chembur,2,1,1
551,14500000,989,Chembur,2,1,1
552,15000000,800,Chembur,2,1,1
553,13000000,650,Chembur,1,1,1
554,13000000,900,Chembur,2,1,1
555,37000000,2300,Chembur,3,1,1
556,19900000,1100,Chembur,2,1,1
557,15000000,1016,Chembur,2,1,1
558,31000000,1550,Chembur,3,1,1
559,11000000,585,Chembur,1,1,1
560,12200000,632,Chembur,1,1,1
561,17500000,1050,Chembur,2,1,1
562,20500000,1060,Chembur,2,1,1
563,32599999,1600,Chembur,3,1,1
564,18900000,1091,Chembur,2,1,1
565,9500000,585,Chembur,1,1,1
566,9200000,620,Chembur,1,1,1
567,11200000,725,Chembur,1,1,1
568,16200000,1050,Chembur,2,0,1
569,12900000,666,Chembur,1,0,1
570,11500000,600,Chembur,1,0,1
571,18500000,1000,Chembur,2,0,1
572,17500000,1070,Chembur,2,0,1
573,10200000,695,Chembur,1,0,1
574,12500000,765,Chembur,1,1,1
575,14000000,775,Chembur,1,1,1
576,20200000,1252,Chembur,2,1,1
577,11200000,700,Chembur,1,0,1
578,12000000,617,Chembur,1,1,1
579,15000000,800,Chembur,2,0,0
580,11000000,600,Chembur,1,1,1
581,12000000,600,Chembur,1,1,1
582,12000000,600,Chembur,1,0,1
583,9700000,575,Chembur,1,1,1
584,8000000,510,Chembur,1,1,0
585,11500000,650,Chembur,1,1,0
586,11000000,650,Chembur,1,1,0
587,17500000,1000,Chembur,2,1,1
588,27500000,1400,Chembur,3,1,1
589,19600000,1010,Chembur,2,1,0
590,13000000,650,Chembur,1,0,0
591,8000000,520,Chembur,1,1,0
592,17000000,1050,Chembur,2,1,1
593,16500000,1050,Chembur,3,1,0
594,16000000,1039,Chembur,2,0,0
595,27500000,1270,Chembur,3,1,1
596,23000000,1250,Chembur,3,1,0
597,17500000,1020,Chembur,2,1,1
598,17500000,1020,Chembur,2,1,1
599,17000000,1000,Chembur,2,1,1
600,10500000,650,Chembur,1,1,0
601,6990000,450,Chembur,1,1,0
602,9000000,550,Chembur,1,1,1
603,19200000,1278,Chembur,2,1,1
604,26800000,1787,Chembur,3,1,1
605,22400000,1496,Chembur,2,1,1
606,20000000,1000,Chembur,2,1,0
607,20000000,1200,Chembur,2,1,0
608,21100000,1050,Chembur,2,1,0
609,9499000,499,Chembur,1,1,1
610,16900000,904,Chembur,2,1,1
611,14500000,696,Chembur,2,1,1
612,9400000,495,Chembur,1,1,1
613,9200000,473,Chembur,1,1,1
614,14600000,698,Chembur,2,1,1
615,21400000,1090,Chembur,2,1,1
616,16800000,800,Chembur,2,0,0
617,13500000,750,Chembur,1,1,0
618,27000000,1500,Chembur,3,1,1
619,21500000,1100,Chembur,2,1,0
620,16800000,800,Chembur,2,1,0
621,14000000,700,Chembur,2,1,0
